name	born	died	url	era
Pierre Alamire	1470	1536	https://en.wikipedia.org/wiki/Pierre_Alamire	Renaissance
Isaac Albéniz	1860	1909	https://en.wikipedia.org/wiki/Isaac_Alb%C3%A9niz	Romantic-era
Pirro Albergati	1663	1735	https://en.wikipedia.org/wiki/Pirro_Albergati	Baroque
Domenico Alberti	1710	1740	https://en.wikipedia.org/wiki/Domenico_Alberti	Baroque
Gasparo Alberti	1489	1560	https://en.wikipedia.org/wiki/Gasparo_Alberti	Renaissance
Giuseppe Matteo Alberti	1685	1751	https://en.wikipedia.org/wiki/Giuseppe_Matteo_Alberti	Baroque-Classical
Johann Friedrich Alberti	1642	1710	https://en.wikipedia.org/wiki/Johann_Friedrich_Alberti	Baroque
Ignazio Albertini	1644	1685	https://en.wikipedia.org/wiki/Ignazio_Albertini	Baroque
Joachim Albertini	1748	1812	https://en.wikipedia.org/wiki/Joachim_Albertini	Classical-era
Tomaso Albinoni	1671	1751	https://en.wikipedia.org/wiki/Tomaso_Albinoni	Baroque-Classical
Johann Georg Albrechtsberger	1736	1809	https://en.wikipedia.org/wiki/Johann_Georg_Albrechtsberger	Classical-era
Giuseppe Aldrovandini	1671	1707	https://en.wikipedia.org/wiki/Giuseppe_Aldrovandini	Baroque
Vittoria Aleotti	1575	1620	https://en.wikipedia.org/wiki/Vittoria_Aleotti	Renaissance-Baroque
Franco Alfano	1875	1954	https://en.wikipedia.org/wiki/Franco_Alfano	Romantic-era
Alfonso X of Castile	1221	1284	https://en.wikipedia.org/wiki/Alfonso_X_of_Castile	url-Medieval
Hugo Alfvén	1872	1960	https://en.wikipedia.org/wiki/Hugo_Alfv%C3%A9n	Romantic-era
Gregorio Allegri	1582	1652	https://en.wikipedia.org/wiki/Gregorio_Allegri	Renaissance-Baroque
Francisco António de Almeida	1702	1755	https://en.wikipedia.org/wiki/Francisco_Ant%C3%B3nio_de_Almeida	Baroque-Classical
João Pedro de Almeida Mota	1744	1817	https://en.wikipedia.org/wiki/Jo%C3%A3o_Pedro_de_Almeida_Mota	Classical-era
Michael Altenburg	1584	1640	https://en.wikipedia.org/wiki/Michael_Altenburg	Renaissance-Baroque
Johann Christoph Altnickol	1720	1759	https://en.wikipedia.org/wiki/Johann_Christoph_Altnickol	Classical-era
Alexander Alyabyev	1787	1851	https://en.wikipedia.org/wiki/Alexander_Alyabyev	Classical-Romantic
Filippo Amadei	1665	1725	https://en.wikipedia.org/wiki/Filippo_Amadei	Baroque
Amalia Catharina	1640	1697	https://en.wikipedia.org/wiki/Amalia_Catharina	Baroque
John Amner	1579	1641	https://en.wikipedia.org/wiki/John_Amner	Renaissance-Baroque
Cataldo Amodei	1650	1695	https://en.wikipedia.org/wiki/Cataldo_Amodei	Baroque
Juan de Anchieta	1462	1523	https://en.wikipedia.org/wiki/Juan_de_Anchieta	Renaissance
Johann Andreas Amon	1763	1825	https://en.wikipedia.org/wiki/Johann_Andreas_Amon	Classical-era
Johann André	1741	1799	https://en.wikipedia.org/wiki/Johann_Andr%C3%A9	Classical-era
Johann Anton André	1775	1842	https://en.wikipedia.org/wiki/Johann_Anton_Andr%C3%A9	Classical-Romantic
Felice Anerio	1560	1614	https://en.wikipedia.org/wiki/Felice_Anerio	Renaissance-Baroque
Giovanni Francesco Anerio	1567	1630	https://en.wikipedia.org/wiki/Giovanni_Francesco_Anerio	Renaissance-Baroque
Pasquale Anfossi	1727	1797	https://en.wikipedia.org/wiki/Pasquale_Anfossi	Classical-era
Giovanni Animuccia	1520	1571	https://en.wikipedia.org/wiki/Giovanni_Animuccia	Renaissance
Elizabeth Anspach	1750	1828	https://en.wikipedia.org/wiki/Elizabeth_Anspach	Classical-era
Andrea Antico	1480	1538	https://en.wikipedia.org/wiki/Andrea_Antico	Renaissance
Antonio da Cividale	1392	1421	https://en.wikipedia.org/wiki/Antonio_da_Cividale	url-Medieval
Benedictus Appenzeller	1488	1558	https://en.wikipedia.org/wiki/Benedictus_Appenzeller	Renaissance
Francesco Araja	1709	1762	https://en.wikipedia.org/wiki/Francesco_Araja	Baroque-Classical
Juan de Araujo	1646	1712	https://en.wikipedia.org/wiki/Juan_de_Araujo	Baroque
Jacques Arcadelt	1507	1568	https://en.wikipedia.org/wiki/Jacques_Arcadelt	Renaissance
Luigi Arditi	1822	1903	https://en.wikipedia.org/wiki/Luigi_Arditi	Romantic-era
Anton Arensky	1861	1906	https://en.wikipedia.org/wiki/Anton_Arensky	Romantic-era
Paolo Aretino	1508	1584	https://en.wikipedia.org/wiki/Paolo_Aretino	Renaissance
Attilio Ariosti	1666	1729	https://en.wikipedia.org/wiki/Attilio_Ariosti	Baroque
Pietro Armanini	1844	1895	https://en.wikipedia.org/wiki/Pietro_Armanini	Romantic-era
Andreas Armsdorff	1670	1699	https://en.wikipedia.org/wiki/Andreas_Armsdorff	Baroque
Michael Arne	1741	1786	https://en.wikipedia.org/wiki/Michael_Arne	Classical-era
Thomas Arne	1710	1778	https://en.wikipedia.org/wiki/Thomas_Arne	Baroque-Classical
Juan Crisóstomo Arriaga	1806	1826	https://en.wikipedia.org/wiki/Juan_Cris%C3%B3stomo_Arriaga	Romantic-era
Elena Asachi	1789	1877	https://en.wikipedia.org/wiki/Elena_Asachi	Classical-Romantic
Gianmatteo Asola	1532	1609	https://en.wikipedia.org/wiki/Gianmatteo_Asola	Renaissance-Baroque
Franz Asplmayr	1728	1786	https://en.wikipedia.org/wiki/Franz_Asplmayr	Classical-era
Caterina Assandra	1590	1618	https://en.wikipedia.org/wiki/Caterina_Assandra	Renaissance-Baroque
Hugh Aston	1485	1558	https://en.wikipedia.org/wiki/Hugh_Aston	Renaissance
Pierre Attaingnant	1551	1552	https://en.wikipedia.org/wiki/Pierre_Attaingnant	Renaissance
